flow,node_id,node_type,node_name,topic_literal
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,broadlink/cmd
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,casa/clima/log_eventi
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,casa/clima/stato_completo
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,emon/AC/emeter_power
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,emon/cameraMatrimoniale/temperature
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,emon/emonth5/temperature_calibrated
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,system/boot
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,zara/domotics/BedroomHumidex
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,zara/domotics/LivingHumidex
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,zigbee2mqtt/TU-cucinaEsterno
AI climate,change_grace_mode,change,Salva Grace Mode,casa/clima/stat/grace_mode_solar
AI climate,change_emergency,change,Salva Emergency Humidex,casa/clima/stat/emergency_humidex_away
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,${baseTopic}/casa/clima/stato_completo
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,/esp8266/brink/fanspeed
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,Europe/Rome
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,N/A
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/SOE
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/load_instant_power
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/solar_instant_power
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,broadlink/cmd
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,casa/clima/log_eventi
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,casa/clima/stato_completo
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,emon/AC/emeter_power
AI climate,96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,emon/cameraMatrimoniale/temperature
